Hatch success,Group
0.333333333,uncovered
1,uncovered
1,uncovered
0.5,uncovered
0.5,uncovered
1,uncovered
0.666666667,uncovered
1,uncovered
1,uncovered
0.666666667,uncovered
1,uncovered
1,uncovered
1,uncovered
0.666666667,uncovered
1,uncovered
0.5,uncovered
1,uncovered
0.333333333,uncovered
1,uncovered
1,uncovered
1,uncovered
1,uncovered
1,uncovered
1,uncovered
1,uncovered
0.666666667,uncovered
0,uncovered
0.333333333,uncovered
1,uncovered
1,uncovered
0,uncovered
1,uncovered
1,uncovered
1,uncovered
1,uncovered
1,uncovered
0.666666667,uncovered
1,uncovered
1,uncovered
0,uncovered
1,uncovered
0.666666667,uncovered
0.666666667,uncovered
0,uncovered
0.333333333,uncovered
1,uncovered
0.666666667,uncovered
1,uncovered
1,uncovered
0.666666667,uncovered
1,uncovered
1,uncovered
1,uncovered
0.666666667,uncovered
1,uncovered
1,uncovered
1,uncovered
0.666666667,uncovered
0.666666667,uncovered
1,uncovered
1,uncovered
0.333333333,uncovered
0.666666667,uncovered
0.666666667,uncovered
1,uncovered
1,uncovered
0.666666667,uncovered
1,uncovered
0.666666667,uncovered
1,uncovered
1,uncovered
0.333333333,uncovered
1,uncovered
1,uncovered
0.333333333,uncovered
1,uncovered
1,uncovered
0.666666667,uncovered
0.666666667,uncovered
1,uncovered
0,uncovered
1,uncovered
0,uncovered
0.666666667,uncovered
1,uncovered
0.666666667,uncovered
0.666666667,uncovered
1,uncovered
0,uncovered
0.666666667,uncovered
0,uncovered
0.666666667,uncovered
0,uncovered
0,uncovered
0,uncovered
1,uncovered
1,uncovered
1,uncovered
1,uncovered
0.333333333,uncovered
1,uncovered
1,uncovered
1,uncovered
1,uncovered
1,uncovered
1,uncovered
1,uncovered
1,uncovered
0.666666667,uncovered
1,uncovered
1,uncovered
1,uncovered
1,uncovered
0.666666667,uncovered
0.666666667,uncovered
1,uncovered
1,uncovered
1,uncovered
1,uncovered
1,uncovered
1,uncovered
1,uncovered
0.666666667,uncovered
1,uncovered
1,uncovered
0.666666667,uncovered
1,uncovered
0.666666667,uncovered
1,uncovered
0.666666667,uncovered
1,uncovered
0.666666667,uncovered
1,uncovered
0,uncovered
1,uncovered
1,uncovered
0.666666667,uncovered
1,uncovered
0.666666667,uncovered
1,uncovered
0.666666667,uncovered
1,uncovered
1,uncovered
0.666666667,uncovered
1,uncovered
0.333333333,uncovered
0.333333333,uncovered
1,uncovered
0,uncovered
0.666666667,uncovered
0,uncovered
0.666666667,uncovered
1,uncovered
0,uncovered
0.666666667,uncovered
0.333333333,uncovered
0,uncovered
0,uncovered
0,uncovered
0,uncovered
0.333333333,uncovered
0,uncovered
0.666666667,uncovered
0,uncovered
1,uncovered
1,uncovered
1,uncovered
1,uncovered
0,uncovered
0.666666667,uncovered
1,uncovered
1,uncovered
1,uncovered
1,uncovered
1,uncovered
1,uncovered
1,uncovered
0.666666667,uncovered
1,uncovered
0.5,uncovered
0.666666667,uncovered
0.5,uncovered
0.333333333,uncovered
0.666666667,uncovered
0.333333333,uncovered
1,uncovered
0.5,uncovered
0.666666667,uncovered
1,uncovered
0,uncovered
0.666666667,uncovered
0.666666667,uncovered
1,uncovered
1,covered
1,covered
1,covered
1,covered
0,covered
1,covered
0.5,covered
0.666666667,covered
0.5,covered
1,covered
1,covered
1,covered
0.666666667,covered
1,covered
0,covered
1,covered
1,covered
0.666666667,covered
0,covered
1,covered
0.333333333,covered
0.5,covered
1,covered
1,covered
0,covered
0.666666667,covered
1,covered
0,covered
1,covered
1,covered
1,covered
0.666666667,covered
0.666666667,covered
1,covered
1,covered
1,covered
1,covered
1,covered
1,covered
1,covered
0,covered
1,covered
1,covered
1,covered
1,covered
1,covered
1,covered
1,covered
1,covered
1,covered
1,covered
1,covered
0.333333333,covered
1,covered
1,covered
1,covered
0.5,covered
0,covered
0,covered
0.5,covered
1,covered
1,covered
1,covered
1,covered
0.666666667,covered
1,covered
0.666666667,covered
1,covered
0,covered
0,covered
1,covered
1,covered
1,covered
1,covered
0.666666667,covered
1,covered
1,covered
1,covered
0.666666667,covered
1,covered
0.666666667,covered
1,covered
1,covered
1,covered
1,covered
1,covered
1,covered
1,covered
1,covered
1,covered
1,covered
1,covered
1,covered
1,covered
1,covered
1,covered
1,covered
1,covered
1,covered
0.666666667,covered
0.666666667,covered
0.5,covered
1,covered
0.666666667,covered
0,covered
