hatch_success,group,year
0.333333333,uncovered,2025
1,uncovered,2025
1,uncovered,2025
0.5,uncovered,2025
0.5,uncovered,2025
1,uncovered,2025
0.666666667,uncovered,2025
1,uncovered,2025
1,uncovered,2025
0.666666667,uncovered,2025
1,uncovered,2025
1,uncovered,2025
1,uncovered,2025
0.666666667,uncovered,2025
1,uncovered,2025
0.5,uncovered,2025
1,uncovered,2025
0.333333333,uncovered,2025
1,uncovered,2025
1,uncovered,2025
1,uncovered,2025
1,uncovered,2025
1,uncovered,2025
1,uncovered,2025
1,uncovered,2025
0.666666667,uncovered,2025
0,uncovered,2025
0.333333333,uncovered,2025
1,uncovered,2025
1,uncovered,2025
0,uncovered,2025
1,uncovered,2025
1,uncovered,2025
1,uncovered,2025
1,uncovered,2025
1,uncovered,2025
0.666666667,uncovered,2025
1,uncovered,2025
1,uncovered,2025
0,uncovered,2025
1,uncovered,2025
0.666666667,uncovered,2025
0.666666667,uncovered,2025
0,uncovered,2025
0.333333333,uncovered,2025
1,uncovered,2025
0.666666667,uncovered,2025
1,uncovered,2025
1,uncovered,2025
0.666666667,uncovered,2025
1,uncovered,2025
1,uncovered,2025
1,uncovered,2025
0.666666667,uncovered,2025
1,uncovered,2025
1,uncovered,2025
1,uncovered,2025
0.666666667,uncovered,2025
0.666666667,uncovered,2025
1,uncovered,2025
1,uncovered,2025
0.333333333,uncovered,2025
0.666666667,uncovered,2025
0.666666667,uncovered,2025
1,uncovered,2025
1,uncovered,2025
0.666666667,uncovered,2025
1,uncovered,2025
0.666666667,uncovered,2025
1,uncovered,2025
1,uncovered,2025
0.333333333,uncovered,2025
1,uncovered,2025
1,uncovered,2025
0.333333333,uncovered,2025
1,uncovered,2025
1,uncovered,2025
0.666666667,uncovered,2025
0.666666667,uncovered,2025
1,uncovered,2025
0,uncovered,2025
1,uncovered,2025
0,uncovered,2025
0.666666667,uncovered,2025
1,uncovered,2025
0.666666667,uncovered,2025
0.666666667,uncovered,2025
1,uncovered,2025
0,uncovered,2025
0.666666667,uncovered,2025
0,uncovered,2025
0.666666667,uncovered,2025
0,uncovered,2025
0,uncovered,2025
0,uncovered,2025
1,uncovered,2025
1,uncovered,2025
1,uncovered,2025
1,uncovered,2025
0.333333333,uncovered,2024
1,uncovered,2024
1,uncovered,2024
1,uncovered,2024
1,uncovered,2024
1,uncovered,2024
1,uncovered,2024
1,uncovered,2024
1,uncovered,2024
0.666666667,uncovered,2024
1,uncovered,2024
1,uncovered,2024
1,uncovered,2024
1,uncovered,2024
0.666666667,uncovered,2024
0.666666667,uncovered,2024
1,uncovered,2024
1,uncovered,2024
1,uncovered,2024
1,uncovered,2024
1,uncovered,2024
1,uncovered,2024
1,uncovered,2024
0.666666667,uncovered,2024
1,uncovered,2024
1,uncovered,2024
0.666666667,uncovered,2024
1,uncovered,2024
0.666666667,uncovered,2024
1,uncovered,2024
0.666666667,uncovered,2024
1,uncovered,2024
0.666666667,uncovered,2024
1,uncovered,2024
0,uncovered,2024
1,uncovered,2024
1,uncovered,2024
0.666666667,uncovered,2024
1,uncovered,2024
0.666666667,uncovered,2024
1,uncovered,2024
0.666666667,uncovered,2024
1,uncovered,2024
1,uncovered,2024
0.666666667,uncovered,2024
1,uncovered,2024
0.333333333,uncovered,2024
0.333333333,uncovered,2024
1,uncovered,2024
0,uncovered,2024
0.666666667,uncovered,2024
0,uncovered,2024
0.666666667,uncovered,2024
1,uncovered,2024
0,uncovered,2024
0.666666667,uncovered,2024
0.333333333,uncovered,2024
0,uncovered,2024
0,uncovered,2024
0,uncovered,2024
0,uncovered,2024
0.333333333,uncovered,2024
0,uncovered,2024
0.666666667,uncovered,2024
0,uncovered,2024
1,uncovered,2024
1,uncovered,2024
1,uncovered,2024
1,uncovered,2024
0,uncovered,2024
0.666666667,uncovered,2024
1,uncovered,2024
1,uncovered,2024
1,uncovered,2024
1,uncovered,2024
1,uncovered,2024
1,uncovered,2024
1,uncovered,2024
0.666666667,uncovered,2024
1,uncovered,2024
0.5,uncovered,2024
0.666666667,uncovered,2024
0.5,uncovered,2024
0.333333333,uncovered,2024
0.666666667,uncovered,2024
0.333333333,uncovered,2024
1,uncovered,2024
0.5,uncovered,2024
0.666666667,uncovered,2024
1,uncovered,2024
0,uncovered,2024
0.666666667,uncovered,2024
0.666666667,uncovered,2024
1,uncovered,2024
1,covered,2025
1,covered,2025
1,covered,2025
1,covered,2025
0,covered,2025
1,covered,2025
0.5,covered,2025
0.666666667,covered,2025
0.5,covered,2025
1,covered,2025
1,covered,2025
1,covered,2025
0.666666667,covered,2025
1,covered,2025
0,covered,2025
1,covered,2025
1,covered,2025
0.666666667,covered,2025
0,covered,2025
1,covered,2025
0.333333333,covered,2025
0.5,covered,2025
1,covered,2025
1,covered,2025
0,covered,2025
0.666666667,covered,2025
1,covered,2025
0,covered,2025
1,covered,2025
1,covered,2025
1,covered,2025
0.666666667,covered,2025
0.666666667,covered,2025
1,covered,2025
1,covered,2025
1,covered,2025
1,covered,2025
1,covered,2025
1,covered,2025
1,covered,2025
0,covered,2025
1,covered,2025
1,covered,2025
1,covered,2025
1,covered,2025
1,covered,2025
1,covered,2025
1,covered,2025
1,covered,2025
1,covered,2025
1,covered,2025
1,covered,2025
0.333333333,covered,2025
1,covered,2025
1,covered,2025
1,covered,2025
0.5,covered,2025
0,covered,2025
0,covered,2025
0.5,covered,2025
1,covered,2024
1,covered,2024
1,covered,2024
1,covered,2024
0.666666667,covered,2024
1,covered,2024
0.666666667,covered,2024
1,covered,2024
0,covered,2024
0,covered,2024
1,covered,2024
1,covered,2024
1,covered,2024
1,covered,2024
0.666666667,covered,2024
1,covered,2024
1,covered,2024
1,covered,2024
0.666666667,covered,2024
1,covered,2024
0.666666667,covered,2024
1,covered,2024
1,covered,2024
1,covered,2024
1,covered,2024
1,covered,2024
1,covered,2024
1,covered,2024
1,covered,2024
1,covered,2024
1,covered,2024
1,covered,2024
1,covered,2024
1,covered,2024
1,covered,2024
1,covered,2024
1,covered,2024
1,covered,2024
1,covered,2024
0.666666667,covered,2024
0.666666667,covered,2024
0.5,covered,2024
1,covered,2024
0.666666667,covered,2024
0,covered,2024
